group,pos,team
A,1,Czech Republic
A,2,Greece
A,3,Russia
A,4,Poland
B,1,Germany
B,2,Portugal
B,3,Denmark
B,4,Netherlands
C,1,Spain
C,2,Italy
C,3,Croatia
C,4,Ireland
D,1,England
D,2,France
D,3,Ukraine
D,4,Sweden
